GeoFips,GeoName,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",115944,119299,123226,125206,125985,127835,128383,130453,130280,130778,130139,130992,130792,131172,130569,130245,130094,130041,131336,132350,133285,133889,134097,134438,134607,134280,133748,134061,133540,134761,135744,136697,137483,137511,137950,138497,139349,139675,138209,139360,138740,138289
16180,"Carson City, NV (Metropolitan Statistical Area)",23808,25484,26094,27331,29972,31782,32323,33475,34324,34654,35260,36389,37086,37403,38379,39657,40714,41926,43231,44572,46108,47768,49290,50463,50864,51953,52568,53472,54503,55234,55995,55982,55410,55288,55552,55401,55044,54992,54878,54531,55150,55439
16220,"Casper, WY (Metropolitan Statistical Area)",53504,56088,58567,61526,65515,68354,72523,75042,77094,76292,73166,71569,69177,64552,62507,61722,61296,62312,63087,63981,65316,65687,65859,66311,66146,66282,66603,66978,67554,68246,69035,69922,70806,72365,73682,75238,75463,76361,78489,80978,81195,81894
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",207881,210055,211491,210846,211033,211937,213666,212534,210374,208238,207969,206995,205865,205577,207415,209528,211200,213453,216818,219948,222711,226357,227938,230490,232402,235365,237950,240145,242099,243272,245108,247265,249524,252709,255503,256896,258511,261375,262537,263606,265477,267786
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",106640,108052,110183,110218,111166,112172,113810,114302,114688,115293,116482,116882,117464,117819,118953,119780,121503,123039,124095,125056,126002,126479,126897,127696,128492,128875,129745,130604,131998,133583,135742,138927,142421,144840,147032,148662,149933,150989,151590,152107,152819,153297
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",184061,182530,185536,187177,188020,184480,185490,187231,188079,186715,187144,187547,189193,189687,190188,188564,188891,191070,193825,190519,188635,188896,191162,192937,193235,195040,196428,198313,200414,203388,205080,207308,210526,213285,214286,216742,218190,219528,220485,221916,223099,224166
16620,"Charleston, WV (Metropolitan Statistical Area)",303574,308748,311754,315639,318947,320992,322812,323232,321893,319711,316565,312026,307701,304351,298341,293891,290435,290435,291582,292148,291252,291561,291197,290266,288693,287226,285694,283588,282476,282146,281718,279823,278691,278207,277793,278370,277921,277361,277677,276823,275423,273071
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",377614,388945,402464,407216,417483,425158,433615,445278,453298,460906,467325,469353,480947,490378,492783,502823,508851,523852,530382,531913,529376,522192,517970,528354,535674,546169,550916,556901,565179,573376,587231,598313,614463,628384,643613,655447,667147,679672,693984,707045,721173,738057
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1078395,1083225,1090448,1101205,1119946,1140515,1168323,1185227,1202085,1211827,1231696,1254725,1272319,1296549,1321246,1344353,1373345,1404496,1429067,1460199,1495064,1533653,1575674,1619972,1665276,1711905,1753958,1795029,1832361,1867238,1906396,1960753,2035838,2112817,2178593,2222773,2249938,2280323,2316865,2355919,2396711,2443016
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",114500,119504,121254,122257,123463,125144,126303,128197,129201,130129,131176,133568,133555,136096,138612,141561,144984,147465,149981,153337,156024,158577,161576,164621,167916,171662,174979,177754,180442,182545,184817,188574,191972,194646,197853,200028,201949,203871,205979,207384,210010,212514
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",398683,401552,405890,411025,415992,423664,427429,430519,427203,423243,424137,424535,424816,429335,433218,434018,433718,437902,441576,447416,452845,458090,462090,466756,470131,473820,477630,481798,485957,490089,494709,499564,506473,513100,518778,524082,529033,533078,537077,540656,542153,544658
16940,"Cheyenne, WY (Metropolitan Statistical Area)",64789,64656,65603,66313,67001,69168,68994,70176,71129,72907,73345,73102,74411,75101,74523,73667,73175,73978,75826,77495,78885,79513,80186,80328,80522,81009,81825,82554,83226,84084,85427,85732,86819,87654,89077,90430,92247,92619,94766,95803,96145,97116
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",7973418,7988641,8014978,8047518,8067880,8055256,8052943,8038127,8047477,8044580,8067923,8072070,8078098,8099059,8116756,8153134,8203210,8304560,8412788,8512911,8605735,8693383,8782253,8862719,8949190,9035654,9113234,9169580,9206032,9233303,9260676,9276302,9297749,9337140,9384555,9429498,9475529,9525380,9572335,9614209,9643982,9655619
17020,"Chico, CA (Metropolitan Statistical Area)",117295,121626,125377,129470,131797,138531,144828,148451,151913,154263,156791,160680,163233,166970,171909,176583,183652,187678,190409,192831,194648,196083,196327,197994,199993,201282,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219882,219638,220253,220746,222335,223167
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1715321,1713012,1723002,1733497,1747118,1754927,1762711,1766939,1770840,1771586,1779589,1789470,1802446,1820093,1831240,1840429,1856819,1878636,1898372,1920041,1933569,1947676,1960948,1977566,1992781,2006474,2021806,2034543,2042871,2054229,2065605,2077928,2093082,2107318,2118370,2130844,2141549,2149841,2158821,2170953,2183787,2195796
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",158160,156167,159985,165292,166124,168638,168672,169914,174812,175305,176266,180704,180129,181228,183356,186014,190352,189761,200158,201941,207171,211843,219461,223972,226773,229368,233367,235549,236758,236569,241543,250476,250292,260846,261530,269798,275142,278310,289063,287831,292807,296839
17420,"Cleveland, TN (Metropolitan Statistical Area)",71692,72406,73937,75881,77652,79631,81363,82061,82139,82449,83652,84486,84865,85340,86505,86902,87684,88954,90317,91979,93161,95133,96848,100019,101755,102982,104338,105295,105979,106754,108099,109410,111177,112935,114306,115090,115911,116648,117815,118613,119723,120870
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2247641,2237565,2219936,2213651,2206866,2184615,2172438,2162129,2150690,2146550,2141290,2131240,2120606,2113892,2102075,2103702,2104288,2117512,2131036,2140398,2146303,2150203,2153598,2152676,2151568,2149943,2147532,2141787,2136201,2131150,2122934,2111699,2099415,2091596,2085110,2081063,2076521,2074333,2074413,2081047,2085571,2086509
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",44600,47365,48828,51565,55386,58728,59996,60827,62436,62987,65494,66783,66761,66160,66859,67738,70443,73946,77577,82654,88046,92677,96590,100108,102717,106346,109487,111542,113667,116512,121002,125972,129510,132811,135627,137407,138902,141197,142556,144581,147432,150504
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",99612,98699,102118,105615,112021,117089,122685,130852,142471,147011,149749,152724,153931,152259,150882,150375,151495,154062,158308,164742,167911,170608,172341,176098,179498,182327,185760,188315,192016,196234,199374,203500,209014,213000,218658,225114,229471,231518,234291,238015,243106,250932
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",299705,299777,297633,307449,312072,317132,320180,330278,341418,353551,364735,381127,394224,406810,408302,409747,410017,417227,435686,451855,472965,486869,496543,506107,517799,529338,540593,557057,565688,569231,578345,587778,602532,609490,620644,630998,650611,661004,669817,679233,687337,698671
17860,"Columbia, MO (Metropolitan Statistical Area)",115683,113108,117187,118666,121087,121926,125427,126768,127455,127859,129258,129412,130855,132014,134072,135850,137307,139776,142630,145785,148579,151643,154701,157447,159149,160778,162886,165050,167766,170077,172563,176257,180420,183438,185729,188301,190975,194186,196836,199246,201050,202849
17900,"Columbia, SC (Metropolitan Statistical Area)",455302,461809,467203,477566,483307,491796,499796,505283,507615,513337,518709,521313,528371,532846,537516,543917,551633,563238,572323,581956,589879,599158,608946,619752,630966,640126,649567,659125,666087,676083,690421,699160,715091,730546,745740,759400,769294,774398,779984,786096,792645,801380
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",256975,262218,267778,266240,272274,272778,272394,271914,275828,274304,275369,276891,278633,279713,278750,277832,279107,278370,287768,289712,292731,291424,291572,292760,292548,292647,294278,295679,297571,291137,297196,298859,301715,298991,299698,305809,309646,316160,324289,330220,328321,326506
18020,"Columbus, IN (Metropolitan Statistical Area)",60249,60844,61316,62371,63254,64113,64960,64301,63992,63765,63567,63398,62940,63427,63395,63375,63855,64843,65467,66357,67273,68410,69031,69568,70275,70639,71763,72110,71890,72299,72882,73660,74508,75265,76080,76566,76773,77385,78566,79016,79654,80403
18140,"Columbus, OH (Metropolitan Statistical Area)",1286905,1299613,1302532,1315830,1323883,1330412,1329236,1340612,1343981,1351988,1362111,1374432,1388054,1405633,1430091,1447914,1468263,1492559,1517612,1540611,1560222,1579412,1593111,1613135,1636690,1658194,1682068,1706779,1726352,1749262,1769572,1791126,1816992,1841539,1865647,1887548,1906456,1926815,1948076,1975360,2003354,2029729
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",300039,305639,311341,312679,314437,320820,327815,333196,343883,351176,352620,352862,356314,351700,348913,348374,350392,354923,359135,366390,371637,374037,377290,380616,381683,381738,381006,380360,383076,384072,388869,392747,396135,397235,399943,403971,404486,406770,411466,416542,419964,423451
