GeoFips,GeoName,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2022
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",6109,6584,7259,7913,8802,9732,11093,12348,13622,14764,16429,17695,18908,20323,21664,21886,23082,23251,24482,25780,26901,28162,29667,30873,32920,34930,36181,39586,39577,40602,43676,44058,46188,47930,49634,49744,51523,53334,55263,55482,57961,60404,62393,85317
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",4754,5312,6073,6645,7400,8166,9394,10393,10931,11363,12067,12588,12537,12767,13792,14969,16206,16983,18241,18692,19832,20633,21406,22016,23167,23708,24902,26064,26787,27659,29490,31968,33382,35804,38081,37403,38308,40262,41375,41804,42887,43452,44066,56897
12980,"Battle Creek, MI (Metropolitan Statistical Area)",5639,6281,6887,7433,8113,8873,9458,10227,10835,11292,12061,13059,13768,14631,15354,16330,17053,17832,18859,19419,20573,21356,22214,23582,24250,24625,25146,25649,26498,27012,27609,28324,28860,29974,31402,31078,32068,32987,33998,34219,34987,36873,37374,44904
13020,"Bay City, MI (Metropolitan Statistical Area)",5159,5505,6264,7100,7780,8570,9444,10135,10636,11329,12191,13031,13688,14187,15216,16046,17096,17683,18676,19404,20551,21352,22268,23271,24012,25069,26451,27020,26955,27662,28277,28638,29746,30819,32227,32265,33587,34793,35304,35453,36362,37971,39041,49667
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",5387,5971,6811,7527,8304,9161,10153,11445,11934,12365,12864,13233,13525,13496,14450,15377,16171,17245,18256,18022,18675,19314,19840,21499,22751,22595,23845,24966,25359,26402,26730,28292,30705,31976,34426,33878,35542,36933,38695,37653,40524,41328,41042,49526
13220,"Beckley, WV (Metropolitan Statistical Area)",4226,4867,5395,5697,6329,6913,7565,8254,8841,8896,9667,10120,10448,10903,11652,12543,13347,14144,15017,15489,16333,17095,17812,18529,19536,19889,20785,22447,23207,23286,23971,25257,26894,26879,28976,29704,30949,33904,34255,33540,34492,35151,34392,47065
13380,"Bellingham, WA (Metropolitan Statistical Area)",5390,5978,6620,7149,7878,8735,9299,9881,10307,11233,11912,12613,13435,13988,14728,16031,17519,18346,18748,18899,19627,20233,21336,21985,23295,23754,24639,26043,25942,27492,29128,30325,32210,34562,36355,35525,36468,38232,40273,39842,41623,43243,43970,58993
13460,"Bend, OR (Metropolitan Statistical Area)",5509,6053,6915,7706,8319,8988,9206,9790,10160,11349,12375,13191,13809,14567,15825,17153,18302,19158,19938,20957,21654,22470,23618,24392,25684,26039,27457,28962,28917,29818,31056,32852,35713,36690,37490,34637,34829,36986,39237,41126,43223,47253,49709,71627
13740,"Billings, MT (Metropolitan Statistical Area)",5693,6232,6803,7553,8362,9227,10250,11416,12081,12523,13175,13496,13616,14127,14915,16232,17054,17930,18634,19335,20064,20775,21456,22370,23850,24311,25940,26720,27158,28466,30645,32377,34332,36729,38778,37481,39006,41360,44439,44147,46632,47480,47248,64017
13780,"Binghamton, NY (Metropolitan Statistical Area)",5426,5890,6293,6874,7576,8331,9311,10344,11400,12232,13578,14297,15013,15835,16746,17943,18601,19170,19795,19803,20081,20848,21721,22822,23404,24549,26069,26247,26594,26785,27924,28345,30080,31930,33851,34411,35492,36359,37097,37060,37385,38483,38905,49216
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",5154,5686,6234,6782,7544,8337,9125,9922,10514,11165,12187,13088,13806,14483,15670,17054,18233,18932,20048,20735,21900,23129,24197,25340,26819,27767,29499,30160,30954,31936,34206,35893,37820,39131,39946,38083,39422,40756,42389,42032,43457,45440,46011,62262
13900,"Bismarck, ND (Metropolitan Statistical Area)",5587,6127,6629,7265,8359,9078,9531,11066,11841,12388,12707,12955,13490,14177,14283,15564,16516,17046,18336,19136,19829,20516,21465,22067,23537,24332,26157,28110,28472,30238,31789,33274,34859,37308,39908,40844,43345,47632,52516,53030,56424,54827,54116,68698
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3961,4274,4704,5169,5780,6406,7161,7793,8388,9176,10142,10795,11378,12025,12878,13700,14084,14225,14891,15389,16106,16881,17361,18434,19109,20056,21055,21669,22373,23388,24455,25490,26677,27954,28640,28657,28681,29775,30818,31018,32533,33884,34437,46345
14010,"Bloomington, IL (Metropolitan Statistical Area)",5913,6988,7377,7931,8481,9466,10054,11393,12178,12335,13659,14212,14760,15244,16122,17980,19061,19234,20762,21092,22541,23284,24745,25722,26866,28528,29975,32046,32351,33102,33917,34144,36456,37543,39415,38922,40268,42288,42710,43271,43226,45478,46278,58178
14020,"Bloomington, IN (Metropolitan Statistical Area)",4231,4676,5206,5647,6302,6886,7612,8435,8926,9532,10460,11186,12026,12738,13602,14657,15484,16191,17152,17610,18154,18902,19857,20942,22148,22947,24257,24550,24805,25651,26822,27397,28574,29295,31108,30689,30935,32564,33820,33928,35458,37307,39045,53735
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",5021,5364,5847,6323,7020,7796,8372,9266,9915,10508,11392,12271,12898,13574,14545,15726,16255,16993,17894,18432,18906,19481,20165,20847,21839,22397,23963,24813,26225,27206,28042,28759,30056,32050,33637,33058,34766,36558,37291,38113,38806,40289,41749,53399
14260,"Boise City, ID (Metropolitan Statistical Area)",5733,6382,6915,7499,8330,8872,9651,10462,11058,11873,12665,13395,13740,14364,15675,16888,17853,18456,19925,21256,22590,23633,24115,24656,26057,27372,29590,29222,29593,29882,31367,32150,34574,35061,34535,33026,33621,34889,36264,37326,38969,40694,41559,59739
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",6352,6819,7345,7999,8842,9853,11135,12405,13631,14777,16567,17838,19187,20639,22764,23965,24714,25213,26497,27378,28573,30080,31797,33486,35571,37911,42332,43439,42914,43610,45982,48155,51971,54597,56416,55375,57744,60005,61505,61256,63585,67506,69736,94082
14500,"Boulder, CO (Metropolitan Statistical Area) *",5887,6659,7363,8053,9180,10468,11616,13043,14036,14992,16318,16910,17546,18365,19705,21180,22404,23161,24758,25946,27345,29015,30742,32532,34933,36884,41247,42140,41301,42175,43163,45886,48567,50429,52310,47097,50356,52388,54447,55964,59514,63274,64195,98553
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4002,4351,4832,5294,5953,6693,7220,8237,8383,8557,9969,10561,10733,11336,12499,13619,14074,14927,16003,16548,17411,17926,18874,19878,20445,21237,22730,23415,23940,24492,25851,26878,27507,28484,29697,28631,29886,31058,31814,32088,33260,34408,34748,44902
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",6636,7207,7897,8749,9502,10300,10928,11525,12773,13760,14351,14975,15338,15909,16744,17854,19719,20841,21467,22431,23098,23378,24205,25802,26998,28061,30267,31101,32198,33763,35664,37742,38736,40698,42550,41584,42193,42965,44402,44531,46756,47776,49373,68198
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",8059,8576,9341,10228,11597,13111,14988,16905,18160,19209,21449,22995,24605,26795,30189,32727,33700,33950,37946,38847,39668,42865,45526,48277,53193,56012,61662,66195,64643,64486,68225,73568,81275,89760,98966,97982,102572,102997,101729,95083,99718,101239,103708,125185
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3317,3575,3851,4109,4745,5235,5831,6608,6765,7004,7316,7831,7899,8027,8662,9269,10124,10622,11542,12047,12433,12678,13076,13780,14428,14718,15558,16812,17555,18077,18237,18878,19804,20804,21982,22443,23612,24470,24801,25297,26125,26734,27362,37325
15260,"Brunswick, GA (Metropolitan Statistical Area)",4638,4840,5504,6041,6865,7565,8355,9162,9578,10163,11092,12014,12747,13276,14323,15594,16448,17140,18243,18954,19992,21343,22815,23670,25008,25425,26629,27048,27637,28833,30894,32282,33861,34107,33143,31266,32030,33492,33947,34400,35870,37894,38638,54827
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",5744,6231,6766,7448,8125,9010,9962,10936,11603,12312,13585,14437,15287,15932,17099,18243,19365,19722,20598,20971,21740,22718,23457,24598,25600,26745,28227,28270,28807,29780,31015,31564,33288,35108,36776,37187,38394,39807,40874,41094,41928,43594,44390,56414
15500,"Burlington, NC (Metropolitan Statistical Area)",5083,5466,5977,6383,7083,7894,8761,9784,10388,11162,12315,13011,13986,14686,15814,17013,17489,17905,18700,19559,20351,21396,22186,23316,24633,25401,26166,26891,27071,27879,28150,28910,30935,32280,32981,31708,31996,33109,34019,34245,35424,36228,36896,48980
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4985,5509,6067,6513,7478,8350,9192,10322,11131,11934,13002,14114,15035,16077,17425,19105,19807,20154,21237,21845,22315,23519,24753,25877,27749,29317,31555,32897,33406,34827,36356,37046,39185,41167,43665,42979,43924,46815,48036,48769,50481,51600,52640,67342
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",6096,5944,6474,7038,7575,7943,8773,10413,11264,11790,12761,13619,14281,15062,16407,17444,18270,18944,19720,20317,20794,21609,22827,25276,27583,28313,30228,30656,32497,34379,36014,37593,39499,41690,44140,45355,46967,49043,49270,49188,50355,52185,53238,66146
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",5483,5947,6510,7201,7967,8982,9798,10851,11250,11694,12722,13382,13854,14525,15521,16606,17566,17754,18844,19536,20528,21414,22253,23152,24861,25457,26867,27221,27639,28451,29349,30276,31485,33003,34123,33017,34114,36377,37661,38064,39360,40714,40672,53175
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",5604,5917,6550,7036,8109,9148,10345,11726,11866,12812,13794,14909,15818,16517,17852,19783,20084,19795,20301,21071,21843,23166,23725,24739,26090,26735,28655,31218,31160,32466,35764,37361,40983,40592,41090,39841,39510,41922,42105,41883,44693,46576,48594,63568
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4431,5087,5506,5973,6678,7380,7761,8781,9265,9846,10918,11539,12101,12851,13465,14539,14907,15535,16478,17172,18062,19064,19694,20638,21716,22516,23915,24682,25532,26668,28234,29027,30252,32153,32918,32572,33198,34450,36447,36817,37173,38641,39543,49170
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4561,5271,5727,6126,6630,7358,8040,8764,9646,10208,11153,11541,11849,12325,12855,13901,14473,14998,16027,16280,17104,17954,18645,19394,20299,21220,22327,24007,25062,25465,26107,26910,27884,28940,30474,31533,33347,34311,35112,35132,35770,37273,37723,48363
16180,"Carson City, NV (Metropolitan Statistical Area)",6856,7433,8459,9374,10398,11090,12308,13493,13850,14533,15647,16508,17419,17916,19180,20367,21419,22480,23709,24220,25201,26343,27102,28261,29848,30458,33144,23409,20116,21137,21018,24421,30220,28971,29552,41039,44494,42738,41997,40844,41117,43244,43038,61026
16220,"Casper, WY (Metropolitan Statistical Area)",7281,8357,8843,10273,11740,12926,14013,15720,15636,14708,15684,15849,14916,15988,16762,19056,21213,21013,21926,22762,22917,23170,24054,26076,27227,28767,32502,31798,32256,34018,35963,40247,46280,47023,53805,45599,50124,54087,60159,61453,68305,69893,61137,68472
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",5871,6481,7023,7706,8732,9680,10335,11453,11978,12352,13583,14328,15144,16058,16789,18387,19124,19524,20339,20830,22130,23052,24466,25626,27749,28817,30434,30856,31160,31628,33037,33971,35648,37936,40184,39739,41062,42735,44619,44551,46225,47754,48539,61165
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",5611,6083,6498,7072,7907,8594,9317,10323,10857,11280,12143,13037,13680,14389,15297,16378,17334,17864,18644,19292,19879,20497,21837,22484,23761,24440,25653,27006,27525,28857,31007,32805,34182,35807,36436,35375,36301,38047,38471,39055,40596,41616,42092,55212
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",5807,6886,7155,7605,8129,9097,9570,10664,11385,11913,13312,13962,14532,15171,15981,17412,18252,18334,19342,19706,20589,21363,22424,23374,24408,25405,27234,28698,29145,29694,30853,30857,31878,33433,35519,37101,38261,39672,40138,41767,42755,43869,43371,55562
16620,"Charleston, WV (Metropolitan Statistical Area)",5192,5729,6314,6936,7648,8506,9165,9959,10629,10943,11777,12464,12839,13082,14464,15460,16662,17375,18497,19174,20219,20811,21566,22367,23720,24362,25858,26867,27701,27995,28256,29886,31807,33072,35298,35308,36130,38080,38693,38110,39199,39855,39705,52369
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",5189,5691,6111,6511,7209,7933,8788,9709,10312,10935,11917,12639,13222,13827,14866,15813,17014,17255,17893,18523,19040,19720,20839,21900,23481,24581,26360,26786,27728,28743,30378,32525,34389,36415,36624,35023,36922,39472,42223,41047,43458,45617,47186,63159
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",5039,5398,5995,6578,7330,8132,8929,9889,10441,11351,12660,13482,14416,15413,16763,17992,18920,19210,20419,21392,22571,23916,25136,26346,28094,29115,30476,29330,29577,30815,33550,35973,39174,42069,46124,41131,38793,40387,44685,42046,43999,46408,47733,65156
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",5057,5352,5893,6411,7254,7923,8952,10019,10931,11812,13002,13864,14977,15836,17747,19045,20091,20938,22110,23209,24001,25317,26310,27788,29446,30319,32371,33596,33860,35670,37657,39590,42632,44724,46243,44183,45988,47958,51329,50460,52516,55164,57658,80969
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",5154,5554,6140,6703,7563,8097,8714,9484,10127,10771,11666,12422,13268,14200,15385,16292,17290,17710,18871,19927,20616,21641,22702,23687,25145,26459,27800,27687,28029,29040,30180,31170,32722,33833,34921,34139,35722,37411,39151,38755,39720,41668,42406,54665
16940,"Cheyenne, WY (Metropolitan Statistical Area)",6504,7118,7608,8233,9461,10324,11826,13004,13863,13957,14704,15413,15748,15787,16403,17735,19132,19797,20417,21026,21799,22690,23241,24410,26219,27526,29202,30369,32207,34154,35790,37320,39904,41465,45346,42237,43320,48141,48325,48065,49334,49560,48055,59148
